sedalea,latitude,longitude
1722950,40.6569862,-89.6840634
1729010,42.1058914,-87.8345603
1733720,41.9627382,-87.8166774
1734380,41.7263082,-89.6803904
1708370,37.7079289,-89.20206
1743890,42.4611073,-87.8726236
1721780,42.2526073,-87.8589232
1722830,42.2800078,-87.9399324
1727570,42.2805082,-88.0538296
1728530,42.0298874,-87.758577
1734020,41.8350092,-87.833419
1713940,41.9021667,-87.9903629
1740290,37.4438151,-88.8658483
1712570,41.7761556,-88.0217838
1739870,41.516101,-90.3907663
1712870,41.0729988,-88.4631538
1728260,41.5122017,-88.5179116
1735850,41.2592008,-88.552568
1715030,41.9658652,-87.9616282
1716830,41.8936718,-88.072866
1725980,40.660665,-87.6497853
1726640,41.37776,-88.4360457
1725320,42.3376521,-88.279592
1725770,40.8140116,-89.4199248
1737140,41.0314845,-87.672777
1719620,42.4362751,-89.1013015
1721840,41.9709738,-88.0673596
1703780,37.4712354,-89.1913985
1731620,38.1170831,-89.3810703
1733510,42.4546502,-88.2767482
1709300,38.4765831,-89.1266608
1709780,38.0723787,-90.0975553
1724570,42.2290672,-88.614184
1727360,38.2900715,-88.8599649
1737410,40.1461844,-88.0393249
1738940,41.5856206,-87.544571
1716260,41.189747,-88.3083297
1706960,41.182913,-87.8612047
1718030,41.3540938,-89.2525339
1740440,41.8793727,-88.2033455
1704170,42.0762484,-87.9617537
1711370,42.2416429,-88.3000111
1706540,41.6702888,-87.7358926
1701384,40.4997501,-91.0654874
1708400,41.643395,-87.8512225
1704020,41.7598003,-87.8289776
1706420,41.503125,-87.6056812
1717902,40.9512121,-88.6748113
1723880,41.7860138,-87.8797038
1717340,42.3819573,-88.1593888
1720610,41.4726603,-88.1091531
1722500,41.6801475,-87.9731885
1731110,40.5439497,-89.6596456
1707050,41.5987613,-87.7324748
1719320,41.7788563,-87.9436813
1722740,41.9376511,-87.8759775
1703870,42.4519009,-88.0898435
1714490,42.047117,-87.6971114
1715840,38.4019249,-89.8963036
1723350,41.5930519,-88.0104827
1726340,41.473077,-88.2768508
1729790,38.6045704,-89.9064056
1705640,38.5095867,-90.0391635
1705970,38.0431026,-88.8459047
1717550,42.3606206,-88.047087
1740980,40.7042865,-89.4140836
1713230,40.6741311,-89.5458262
1722110,41.3168007,-89.0736782
1723070,41.487589,-87.9219563
1714580,41.7212749,-87.7013342
1719560,41.5485798,-87.6699662
1712990,38.8394437,-90.1020127
2121005,39.0638867,-84.4709874
2121004,38.2697855,-85.5376327
2121002,37.1767828,-84.624303
